Timestamp,Channel 2,Channel 4
61560.67977,-0.276661484,-1.235193867
61560.67979,0.664932223,-1.843079268
61560.684,1.571388256,-2.347648549
61560.68781,2.386259408,-2.708439613
61560.68783,3.0585148,-2.893822884
61560.68784,3.545977295,-2.883587307
61560.69095,3.818201857,-2.67077716
61560.69096,3.85858479,-2.262623718
61560.69286,3.665544921,-1.680478028
61560.6979,3.252681567,-0.958721971
61560.70041,2.647886188,-0.142709188
61560.70352,1.891459709,0.714140012
61560.70358,1.033360229,1.553900545
61560.70539,0.129770624,2.318119352
61560.70841,-0.760772635,2.951929259
61560.70845,-1.581413312,3.408005862
61560.71538,-2.28088113,3.650078607
61560.72226,-2.81698549,3.655733888
61560.7223,-3.15944169,3.418294496
61560.7279,-3.291822207,2.94762295
61560.73728,-3.212489991,2.26977175
61560.73733,-2.934446751,1.425485954
61560.75724,-2.484111098,0.46764663
61560.75727,-1.899122926,-0.542178396
61560.75978,-1.225345038,-1.537843403
61560.75981,-0.513294957,-2.453109669
61560.76153,0.185716199,-3.226192504
61560.76467,0.823438386,-3.804048719
61560.7647,1.358232535,-4.146098463
61560.77098,1.758042022,-4.227113468
61560.77101,2.002558515,-4.039061654
61560.78036,2.084419648,-3.591771721
61560.7834,2.009353857,-2.91236531
61560.78343,1.795272454,-2.043492375
61560.78541,1.470394053,-1.040491177
61560.79681,1.070564623,0.032328732
61560.8265,0.636001594,1.106019512
61560.82652,0.20773693,2.111639419
61560.82653,-0.17594185,2.98488258
61560.82921,-0.482754298,3.670370451
61560.8356,-0.689120205,4.125307077
61560.83796,-0.782058306,4.322247379
61560.84044,-0.760132566,4.250792708
61560.84289,-0.633368598,3.918105731
61560.84544,-0.422150066,3.348221647
61560.848,-0.155191779,2.580218516
61560.8504,0.133234801,1.665389789
61560.85295,0.406583271,0.663631141
61560.85533,0.629536248,-0.360693455
61560.86049,0.771425774,-1.343108624
61560.86356,0.809269262,-2.223298921
61560.86361,0.730150371,-2.948997984
61560.86793,0.532727631,-3.479232283
61560.87106,0.227725714,-3.78670839
61560.87109,-0.162650687,-3.859199325
61560.87288,-0.606349501,-3.699861482
61560.87541,-1.064030175,-3.326492902
61560.8862,-1.492348073,-2.769820167
61560.88622,-1.847698806,-2.07096906
61560.88846,-2.090113149,-1.278328392
61560.88848,-2.186974379,-0.444053112
61560.89424,-2.116237832,0.379530311
61560.90494,-1.868866922,1.143356997
61560.905,-1.450258428,1.804659355
61560.90676,-0.880508077,2.329409894
61560.91337,-0.193459451,2.694029276
61560.91738,0.565422357,2.886279806
61560.91745,1.342213845,2.905329676
61560.92666,2.078506534,2.761036132
61560.92984,2.715892888,2.472551381
61560.92989,3.200617855,2.066399246
61560.93918,3.488026939,1.574200416
61560.94497,3.546448635,1.030237943
61560.945,3.360184992,0.469052107
61560.94715,2.931346863,-0.076763705
61560.94909,2.280355459,-0.578424645
61560.9604,1.445032974,-1.01237139
61560.9639,0.47831443,-1.361184725
61560.96392,-0.55527774,-1.613985335
61560.96917,-1.584154348,-1.76634862
61560.97606,-2.534849523,-1.819799962
61560.97609,-3.337494464,-1.78098231
61560.97797,-3.931158087,-1.660603513
61561.00492,-4.268638795,-1.472275248
61561.00495,-4.320325175,-1.231349041
61561.00883,-4.076807569,-0.953839623
61561.00886,-3.550012809,-0.655503809
61561.00887,-2.772744276,-0.35111729
61561.00887,-1.79663074,-0.053965005
61561.01104,-0.688610721,0.224463832
61561.01106,0.47380509,0.474605172
61561.0128,1.608151765,0.688817025
61561.02416,2.633092584,0.861293449
61561.02909,3.474506954,0.987944546
61561.02913,4.071116623,1.066284031
61561.02914,4.37921111,1.095353409
61561.03663,4.37609625,1.075696039
61561.04589,4.06198302,1.00937766
61561.04591,3.460150849,0.900034612
61561.04783,2.615351387,0.752919059
61561.05162,1.590555161,0.57490356
61561.05983,0.462274068,0.374406435
61561.05986,-0.685193298,0.161204644
61561.06161,-1.766158037,-0.053888011
61561.07348,-2.700088194,-0.259483977
61561.07351,-3.417798486,-0.444214519
